COUNTRY,COUNTRY_CODE,INDICATOR_NAME,INDICATOR_CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,IND,Population (Total),SP.POP.TOTL,449595489,458626687,467962144,477615992,487607406,497952332,508656247,519722246,531160986,542983934,555199768,567805061,580798773,594192969,608002572,622232355,636883717,651935141,667339022,683032539,698965575,715105168,731443752,747986284,764749394,781736502,798941802,816328792,833833510,851374699,868890700,886348712,903749636,921107534,938452550,955804355,973147577,990460131,1007746556,1025014711,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732, - , - , - , - , - , - , - 
Not classified,INX,Population (Total),SP.POP.TOTL, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ireland,IRL,Population (Total),SP.POP.TOTL,2828600,2824400,2836050,2852650,2866550,2877300,2888800,2902450,2915550,2932650,2957250,2992050,3036850,3085950,3137500,3189550,3238050,3282200,3329100,3373750,3412800,3453000,3485800,3510600,3532423,3538082,3539690,3540057,3524949,3511009,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4274137,4398942,4489544,4535375,4560155,4576794,4586897, - , - , - , - , - , - , - 
"Iran, Islamic Rep.",IRN,Population (Total),SP.POP.TOTL,21958460,22535672,23130085,23742324,24373188,25023580,25696631,26393889,27113136,27850926,28606584,29381955,30184173,31024743,31918360,32877678,33901414,34992483,36171889,37465764,38889520,40440041,42100410,43852710,45672219,47531740,49440637,51377914,53250434,54938264,56361868,57472293,58307457,58982430,59663107,60468352,61440887,62542531,63713397,64858754,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443, - , - , - , - , - , - , - 
Iraq,IRQ,Population (Total),SP.POP.TOTL,7289759,7475354,7674220,7888914,8122200,8375791,8651167,8947399,9260685,9585576,9917982,10255904,10599846,10951169,11312304,11684585,12068300,12461337,12859762,13258367,13653358,14045450,14435914,14822565,15202850,15576396,15941197,16301879,16672907,17073500,17517521,18009865,18547047,19123947,19731733,20363138,21017108,21693597,22387179,23091408,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209, - , - , - , - , - , - , - 
Iceland,ISL,Population (Total),SP.POP.TOTL,175574,179029,182378,185653,188983,192286,195570,198751,201488,203369,204438,206098,209137,212317,215209,217979,220154,221799,223537,225735,228138,230755,233860,236977,239511,241405,243180,245859,249740,252852,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716, - , - , - , - , - , - , - 
Israel,ISR,Population (Total),SP.POP.TOTL,2114020,2185000,2293000,2379000,2475000,2563000,2629000,2745000,2803000,2877000,2974000,3069000,3148000,3278000,3377000,3455000,3533000,3613000,3690000,3786000,3878000,3956000,4031000,4105000,4159000,4233000,4299000,4369000,4442000,4518000,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500, - , - , - , - , - , - , - 
Italy,ITA,Population (Total),SP.POP.TOTL,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56977217,57157406,57604658,58175310,58607043,58941499,59375289,59832179,60192698,60483385,60723569,59539717, - , - , - , - , - , - , - 
Jamaica,JAM,Population (Total),SP.POP.TOTL,1629003,1651915,1678467,1707019,1734763,1760000,1783125,1803891,1823706,1844936,1869000,1895629,1925162,1956080,1985852,2013000,2037716,2059399,2080307,2104141,2133000,2162300,2200100,2240800,2279900,2311100,2335800,2350600,2356400,2374900,2390000,2406042,2423044,2441024,2460002,2480000,2509923,2534069,2556780,2574289,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805, - , - , - , - , - , - , - 
Jordan,JOR,Population (Total),SP.POP.TOTL,844000,891451,943090,999392,1060998,1128000,1200290,1278416,1358918,1436517,1508000,1573846,1633558,1689934,1747710,1810000,1876274,1946630,2021107,2099312,2181000,2267246,2359755,2455896,2551301,2644000,2744000,2846000,2948000,3056000,3170000,3545000,3733000,3906000,4061000,4195000,4325000,4459000,4597000,4681000,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000, - , - , - , - , - , - , - 
